date,steps
2023-11-29,4235
2023-11-30,20769
2023-12-01,15777
2023-12-02,14546
2023-12-03,5052
2023-12-04,6763
2023-12-05,20667
2023-12-06,22249
2023-12-07,16656
2023-12-08,9303
2023-12-09,16545
2023-12-10,6262
2023-12-11,10438
2023-12-12,6074
2023-12-13,15339
2023-12-14,7149
2023-12-15,4161
2023-12-16,15068
2023-12-17,2601
2023-12-18,10110
2023-12-19,9433
2023-12-20,18130
2023-12-21,9834
2023-12-22,18150
2023-12-23,5119
2023-12-24,1886
2023-12-25,5000
2023-12-26,4954
2023-12-27,2123
2023-12-28,2508
2023-12-29,14212
2023-12-30,8422
2023-12-31,1770
2024-01-01,1552
2024-01-02,2626
2024-01-03,445
2024-01-04,1286
2024-01-05,1571
2024-01-06,3651
2024-01-07,5139
2024-01-08,5338
2024-01-09,4262
2024-01-10,9702
2024-01-11,15195
2024-01-12,7237
2024-01-13,3725
2024-01-14,3638
2024-01-15,7986
2024-01-16,9142
2024-01-17,8143
2024-01-18,12563
2024-01-19,8227
2024-01-20,6040
2024-01-21,6420
2024-01-22,9734
2024-01-23,14143
2024-01-24,10119
2024-01-25,11185
2024-01-26,10179
2024-01-27,9882
2024-01-28,4083
2024-01-29,10871
2024-01-30,9713
2024-01-31,8930
2024-02-01,8655
2024-02-02,9259
2024-02-03,3726
2024-02-04,4675
2024-02-05,10842
2024-02-06,10963
2024-02-07,11310
2024-02-08,7512
2024-02-09,10259
2024-02-10,8666
2024-02-11,8772
2024-02-12,7723
2024-02-13,7352
2024-02-14,9532
2024-02-15,9756
2024-02-16,11353
2024-02-17,5389
2024-02-18,8922
2024-02-19,13828
2024-02-20,9712
2024-02-21,10237
2024-02-22,9575
2024-02-23,5063
2024-02-24,3477
2024-02-25,10048
2024-02-26,9906
2024-02-27,6777
2024-02-28,7809
2024-02-29,11796
2024-03-01,6783
2024-03-02,7080
2024-03-03,9822
2024-03-04,7656
2024-03-05,9726
2024-03-06,12901
2024-03-07,7824
2024-03-08,8676
2024-03-09,8892
2024-03-10,6101
2024-03-11,11825
2024-03-12,5104
2024-03-13,2682
2024-03-14,4036
2024-03-15,6864
2024-03-16,12489
2024-03-17,7527
2024-03-18,8054
2024-03-19,8857
2024-03-20,9780
2024-03-21,8274
2024-03-22,9523
2024-03-23,6635
2024-03-24,6860
2024-03-25,10430
2024-03-26,8671
2024-03-27,7658
2024-03-28,7732
2024-03-29,10546
2024-03-30,12491
2024-03-31,6960
2024-04-01,10532
2024-04-02,10881
2024-04-03,9040
2024-04-04,6612
2024-04-05,9153
2024-04-06,4138
2024-04-07,7289
2024-04-08,10353
2024-04-09,7797
2024-04-10,12453
2024-04-11,2844
2024-04-12,10551
2024-04-13,7200
2024-04-14,13819
2024-04-15,8559
2024-04-16,11282
2024-04-17,13525
2024-04-18,7304
2024-04-19,6369
2024-04-20,8851
2024-04-21,5577
2024-04-22,8176
2024-04-23,10256
2024-04-24,6855
2024-04-25,7389
2024-04-26,5300
2024-04-27,5722
2024-04-28,8184
2024-04-29,6775
2024-04-30,7424
2024-05-01,8144
2024-05-02,6307
2024-05-03,7583
2024-05-04,4554
2024-05-05,4826
2024-05-06,8497
2024-05-07,5157
2024-05-08,3312
2024-05-09,4046
2024-05-10,919
2024-05-11,4595
2024-05-12,1596
2024-05-13,11032
2024-05-14,5863
2024-05-15,396
2024-05-16,1554
2024-05-17,1135
2024-05-18,2952
2024-05-19,3327
2024-05-20,2297
2024-05-21,1282
2024-05-22,708
2024-05-23,1787
2024-05-24,979
2024-05-25,12067
2024-05-26,2715
2024-05-27,2546
2024-05-28,5980
2024-05-29,901
2024-05-30,1305
2024-05-31,4912
2024-06-01,7590
2024-06-02,6595
2024-06-03,2642
2024-06-04,9174
2024-06-05,1220
2024-06-06,9165
2024-06-07,799
2024-06-08,20096
2024-06-09,15800
2024-06-10,2556
2024-06-11,2040
2024-06-12,830
2024-06-13,1329
2024-06-14,1418
2024-06-15,1605
2024-06-16,2696
2024-06-17,3316
2024-06-18,2600
2024-06-19,1749
2024-06-20,6544
2024-06-21,6413
2024-06-22,3470
2024-06-23,3215
2024-06-24,1677
2024-06-25,952
2024-06-26,1032
2024-06-27,1738
2024-06-28,8779
2024-06-29,2798
2024-06-30,9094
2024-07-01,1270
2024-07-02,2097
2024-07-03,3952
2024-07-04,1174
2024-07-05,5789
2024-07-06,9273
2024-07-07,3251
2024-07-08,2726
2024-07-09,546
2024-07-10,2433
2024-07-11,2009
2024-07-12,1834
2024-07-13,4763
2024-07-14,2146
2024-07-15,2082
2024-07-16,1158
2024-07-17,1970
2024-07-18,1885
2024-07-19,1256
2024-07-20,6310
2024-07-21,3030
2024-07-22,6661
2024-07-23,7484
2024-07-24,4001
2024-07-25,2170
2024-07-26,5629
2024-07-27,4064
2024-07-28,2469
2024-07-29,3422
2024-07-30,6835
2024-07-31,2811
2024-08-01,3003
2024-08-02,9684
